,celeb_bd,partner_bd,celeb_nominated,partner_nominated,marriage_status,celeb_gender,partner_gender
 Warren Beatty / Annette Bening,1958-5-29,1937-3-30,True,True,"
(3 March 1992            - 
present) (    4 children)          ",Female,Male
 J. Steven White / Annette Bening,1958-5-29,-1,True,False,"
(26 May 1984            - 
1991) (    divorced)          ",Female,Male
 Beverley Cross / Maggie Smith,1934-12-28,1931-4-13,True,False,"
(23 June 1975            - 
20 March 1998) (    his death)          ",Female,Male
 Robert Stephens / Maggie Smith,1934-12-28,1931-7-14,True,False,"
(29 June 1967            - 
6 April 1975) (    divorced) (    2 children)          ",Female,Male
 James Brolin / Barbra Streisand,1942-4-24,1940-7-18,True,True,"
(1 July 1998            - 
present)          ",Female,Male
 Elliott Gould / Barbra Streisand,1942-4-24,1938-8-29,True,True,"
(13 September 1963            - 
6 July 1971) (    divorced) (    1 child)          ",Female,Male
 Cooke Maroney / Jennifer Lawrence,1990-8-15,-1,True,False,"
(19 October 2019            - 
present)          ",Female,-1
 Paul Newman / Joanne Woodward,1930-2-27,1925-1-26,True,True,"
(29 January 1958            - 
26 September 2008) (    his death) (    3 children)          ",Female,Male
 Fletcher Markle / Mercedes McCambridge,1916-3-16,1921-3-27,True,False,"
(19 February 1950            - 
1962) (    divorced) (    1 child)          ",Female,Male
               William Fifield          / Mercedes McCambridge,1916-3-16,-1,True,False,"
(18 August 1939            - 
1946) (    divorced) (    1 child)          ",Female,-1
 Robert Graham / Anjelica Huston,1951-7-8,1938-8-19,True,False,"
(23 May 1992            - 
27 December 2008) (    his death)          ",Female,Male
 Bill Hudson / Goldie Hawn,1945-11-21,1949-10-17,True,False,"
(3 July 1976            - 
19 March 1982) (    divorced) (    2 children)          ",Female,Male
 Gus Trikonis / Goldie Hawn,1945-11-21,1937-11-21,True,False,"
(16 May 1969            - 
22 June 1976) (    divorced)          ",Female,Male
 Franco Cristaldi / Claudia Cardinale,1938-4-15,1924-10-3,False,False,"
(1966            - 
1975) (    divorced)          ",Female,Male
 Brad Falchuk / Gwyneth Paltrow,1972-9-27,-1,True,False,"
(29 September 2018            - 
present)          ",Female,Male
 Chris Martin / Gwyneth Paltrow,1972-9-27,1977-3-2,True,True,"
(5 December 2003            - 
14 July 2016) (    divorced) (    2 children)          ",Female,Male
 Arliss Howard / Debra Winger,1955-5-16,1954-10-18,True,False,"
(28 November 1996            - 
present) (    1 child)          ",Female,Male
 Timothy Hutton / Debra Winger,1955-5-16,1960-8-16,True,True,"
(16 March 1986            - 
1 March 1990) (    divorced) (    1 child)          ",Female,Male
 James Heerdegen / Christina Ricci,1980-2-12,-1,True,False,"
(26 October 2013            - 
present) (    filed for divorce) (    1 child)          ",Female,-1
 Neil Young / Daryl Hannah,1960-12-3,1945-11-12,False,True,"
(27 July 2018            - 
present)          ",Female,Male
"               William Hogg Baker, Jr.          / Shirley Booth",1898-8-30,-1,True,False,"
(24 September 1943            - 
4 March 1951) (    his death)          ",Female,-1
 Ed Gardner / Shirley Booth,1898-8-30,1901-6-29,True,False,"
(23 November 1929            - 
4 September 1942) (    divorced)          ",Female,Male
 Jim Toth / Reese Witherspoon,1976-3-22,1970-0-0,True,False,"
(26 March 2011            - 
present) (    1 child)          ",Female,Male
 Ryan Phillippe / Reese Witherspoon,1976-3-22,1974-9-10,True,False,"
(5 June 1999            - 
13 June 2008) (    divorced) (    2 children)          ",Female,Male
 Kyra Sedgwick / Kevin Bacon,1958-7-8,1965-8-19,True,True,"
(4 September 1988            - 
present) (    2 children)          ",Male,Female
 Lisa Niemi / Patrick Swayze,1952-8-18,1956-5-26,True,False,"
(12 June 1975            - 
14 September 2009) (    his death)          ",Male,Female
 Shakira Caine / Michael Caine,1933-3-14,1947-2-23,True,False,"
(8 January 1973            - 
present) (    1 child)          ",Male,Female
 Patricia Haines / Michael Caine,1933-3-14,1932-2-3,True,False,"
(3 April 1954            - 
1958) (    divorced) (    1 child)          ",Male,Female
 Luciana Pedraza / Robert Duvall,1931-1-5,1972-1-5,True,False,"
(6 October 2004            - 
present)          ",Male,Female
               Sharon Brophy          / Robert Duvall,1931-1-5,-1,True,False,"
(1 May 1991            - 
1996) (    divorced)          ",Male,-1
 Gail Youngs / Robert Duvall,1931-1-5,1952-10-9,True,False,"
(22 August 1982            - 
1986) (    divorced)          ",Male,Female
               Barbara Benjamin          / Robert Duvall,1931-1-5,-1,True,False,"
(31 December 1964            - 
1975) (    divorced)          ",Male,-1
               Susan Martin          / Burt Lancaster,1913-11-2,-1,True,False,"
(10 September 1991            - 
20 October 1994) (    his death)          ",Male,-1
               Norma Anderson          / Burt Lancaster,1913-11-2,-1,True,False,"
(28 December 1946            - 
1969) (    divorced) (    5 children)          ",Male,-1
               June Ernst          / Burt Lancaster,1913-11-2,-1,True,False,"
(1935            - 
1946) (    divorced)          ",Male,-1
 Dorothy Mitchum / Robert Mitchum,1917-8-6,1919-5-2,True,False,"
(15 March 1940            - 
1 July 1997) (    his death) (    3 children)          ",Male,Female
 Brenda Marshall / William Holden,1918-4-17,1915-9-29,True,False,"
(12 July 1941            - 
1971) (    divorced) (    2 children)          ",Male,Female
 Jane Robinson / Edward G. Robinson,1893-12-12,1919-6-30,False,False,"
(16 January 1958            - 
26 January 1973) (    his death)          ",Male,Female
 Gladys Lloyd / Edward G. Robinson,1893-12-12,1895-10-11,False,False,"
(21 January 1927            - 
20 July 1956) (    divorced) (    1 child)          ",Male,Female
 Diana Lewis / William Powell,1892-7-29,1919-9-18,True,False,"
(6 January 1940            - 
5 March 1984) (    his death)          ",Male,Female
 Carole Lombard / William Powell,1892-7-29,1908-10-6,True,True,"
(26 June 1931            - 
16 August 1933) (    divorced)          ",Male,Female
               Eileen Wilson          / William Powell,1892-7-29,-1,True,False,"
(1915            - 
1930) (    divorced) (    1 child)          ",Male,-1
 Patrice Wymore / Errol Flynn,1909-6-20,1926-12-17,False,False,"
(23 October 1950            - 
14 October 1959) (    his death) (    1 child)          ",Male,Female
 Nora Eddington / Errol Flynn,1909-6-20,1924-2-25,False,False,"
(12 August 1943            - 
8 July 1949) (    divorced) (    2 children)          ",Male,Female
 Lili Damita / Errol Flynn,1909-6-20,1904-7-10,False,False,"
(29 June 1935            - 
8 April 1942) (    divorced) (    1 child)          ",Male,Female
 Eden Hartford / Groucho Marx,1890-10-2,1930-4-10,False,False,"
(17 July 1954            - 
4 December 1969) (    divorced)          ",Male,Female
 Kay Marvis / Groucho Marx,1890-10-2,1923-8-29,False,False,"
(24 February 1945            - 
12 May 1951) (    divorced) (    1 child)          ",Male,Female
 Ruth Johnson / Groucho Marx,1890-10-2,1898-5-13,False,False,"
(4 February 1920            - 
15 July 1942) (    divorced) (    2 children)          ",Male,Female
 Clarissa Kaye-Mason / James Mason,1909-5-15,1931-0-0,True,False,"
(13 August 1971            - 
27 July 1984) (    his death)          ",Male,Female
 Pamela Mason / James Mason,1909-5-15,1916-3-10,True,False,"
(22 February 1941            - 
31 August 1964) (    divorced) (    2 children)          ",Male,Female
 Eleanor Keaton / Buster Keaton,1895-10-4,1918-7-29,False,False,"
(28 July 1940            - 
1 February 1966) (    his death)          ",Male,Female
               Mae Elizabeth Scrivens          / Buster Keaton,1895-10-4,-1,False,False,"
(8 January 1933            - 
4 October 1935) (    divorced)          ",Male,-1
 Natalie Talmadge / Buster Keaton,1895-10-4,1896-4-29,False,False,"
(31 May 1921            - 
25 July 1932) (    divorced) (    2 children)          ",Male,Female
 Paola Mori / Orson Welles,1915-5-6,1928-9-18,True,False,"
(8 May 1955            - 
10 October 1985) (    his death) (    1 child)          ",Male,Female
 Rita Hayworth / Orson Welles,1915-5-6,1918-10-17,True,True,"
(7 September 1943            - 
1 December 1948) (    divorced) (    1 child)          ",Male,Female
 Virginia Nicolson / Orson Welles,1915-5-6,1916-3-1,True,False,"
(14 November 1934            - 
1 February 1940) (    divorced) (    1 child)          ",Male,Female
 Robyn Smith / Fred Astaire,1899-5-10,1944-8-14,True,False,"
(27 June 1980            - 
22 June 1987) (    his death)          ",Male,Female
               Phyllis Livingston Potter          / Fred Astaire,1899-5-10,-1,True,False,"
(12 July 1933            - 
13 September 1954) (    her death) (    2 children)          ",Male,-1
 Jennifer Esposito / Bradley Cooper,1975-1-5,1973-4-11,True,False,"
(21 December 2006            - 
10 November 2007) (    divorced)          ",Male,Female
 Gisele Schmidt / Gary Oldman,1958-3-21,-1,True,False,"
(September 2017            - 
present)          ",Male,-1
               Alexandra Edenborough          / Gary Oldman,1958-3-21,-1,True,False,"
(31 December 2008            - 
2015) (    divorced)          ",Male,-1
 Donya Fiorentino / Gary Oldman,1958-3-21,1967-11-10,True,False,"
(16 February 1997            - 
13 April 2001) (    divorced) (    2 children)          ",Male,Female
 Uma Thurman / Gary Oldman,1958-3-21,1970-4-29,True,True,"
(26 September 1990            - 
30 April 1992) (    divorced)          ",Male,Female
 Lesley Manville / Gary Oldman,1958-3-21,1956-3-12,True,True,"
(1987            - 
1990) (    divorced) (    1 child)          ",Male,Female
               Phillipa Coan          / Jude Law,1972-12-29,-1,True,False,"
(30 April 2019            - 
present)          ",Male,-1
 Sadie Frost / Jude Law,1972-12-29,1965-6-19,True,False,"
(2 September 1997            - 
29 October 2003) (    divorced) (    3 children)          ",Male,Female
 Elizabeth Giamatti / Paul Giamatti,1967-6-6,1962-9-20,True,False,"
(13 October 1997            - 
present) (    1 child)          ",Male,Female
 Natasha Richardson / Liam Neeson,1952-6-7,1963-5-11,True,False,"
(3 July 1994            - 
18 March 2009) (    her death) (    2 children)          ",Male,Female
 Luciana Barroso / Matt Damon,1970-10-8,1976-0-0,True,False,"
(9 December 2005            - 
present) (    3 children)          ",Male,Female
 Alicia Vikander / Michael Fassbender,1977-4-2,1988-10-3,True,True,"
(14 October 2017            - 
present)          ",Male,Female
 Brian Miller / Carol Burnett,1933-4-26,-1,True,False,"
(24 November 2001            - 
present)          ",Female,-1
 Joe Hamilton / Carol Burnett,1933-4-26,1929-1-6,True,False,"
(4 May 1963            - 
11 May 1984) (    divorced) (    3 children)          ",Female,Male
 Don Saroyan / Carol Burnett,1933-4-26,1928-10-4,True,False,"
(15 December 1955            - 
25 September 1962) (    divorced)          ",Female,Male
 Hume Cronyn / Jessica Tandy,1909-6-7,1911-7-18,True,True,"
(27 September 1942            - 
11 September 1994) (    her death) (    2 children)          ",Female,Male
 Jack Hawkins / Jessica Tandy,1909-6-7,1910-9-14,True,False,"
(22 October 1932            - 
2 January 1940) (    divorced) (    1 child)          ",Female,Male
 Hank Azaria / Helen Hunt,1963-6-15,1964-4-25,True,False,"
(17 July 1999            - 
18 December 2000) (    divorced)          ",Female,Male
 Thomas Jane / Patricia Arquette,1968-4-8,1969-2-22,True,True,"
(24 June 2006            - 
1 July 2011) (    divorced) (    1 child)          ",Female,Male
 Nicolas Cage / Patricia Arquette,1968-4-8,1964-1-7,True,True,"
(8 April 1995            - 
18 May 2001) (    divorced)          ",Female,Male
 Dave Sebastian / Carmen Miranda,1909-2-9,1908-11-23,False,False,"
(17 March 1947            - 
5 August 1955) (    her death)          ",Female,-1
 Chris Robinson / Kate Hudson,1979-4-19,1966-12-20,True,False,"
(31 December 2000            - 
25 October 2007) (    divorced) (    1 child)          ",Female,Male
 Michael Douglas / Catherine Zeta-Jones,1969-9-25,1944-9-25,True,True,"
(18 November 2000            - 
present) (    2 children)          ",Female,Male
 Benji Madden / Cameron Diaz,1972-8-30,1979-3-11,True,False,"
(5 January 2015            - 
present) (    1 child)          ",Female,Male
               Richard Ronald Hamlett          / Debbie Reynolds,1932-4-1,-1,True,False,"
(25 May 1984            - 
16 May 1996) (    divorced)          ",Female,-1
 Harry Karl / Debbie Reynolds,1932-4-1,1914-3-9,True,False,"
(25 November 1960            - 
14 September 1973) (    divorced)          ",Female,Male
 Eddie Fisher / Debbie Reynolds,1932-4-1,1928-8-10,True,True,"
(26 September 1955            - 
12 May 1959) (    divorced) (    2 children)          ",Female,Male
 Neil Burstyn / Ellen Burstyn,1932-12-7,1939-7-17,True,False,"
(12 November 1964            - 
1972) (    divorced)          ",Female,Male
               Paul Roberts          / Ellen Burstyn,1932-12-7,-1,True,False,"
(14 September 1958            - 
23 April 1962) (    divorced) (    1 child)          ",Female,-1
               William Alexander          / Ellen Burstyn,1932-12-7,-1,True,False,"
(December 1951            - 
1957) (    divorced)          ",Female,-1
 Charles F. Blair / Maureen O'Hara,1920-8-17,1909-7-19,False,False,"
(11 March 1968            - 
2 September 1978) (    his death)          ",Female,-1
 Will Price / Maureen O'Hara,1920-8-17,1913-10-27,False,False,"
(29 December 1941            - 
11 August 1953) (    divorced) (    1 child)          ",Female,-1
 George H. Brown / Maureen O'Hara,1920-8-17,1913-7-24,False,False,"
(12 June 1939            - 
15 September 1941) (    annulled)          ",Female,Male
               Howland Hill Sargeant          / Myrna Loy,1905-8-2,-1,False,False,"
(1 June 1951            - 
31 May 1960) (    divorced)          ",Female,-1
 Gene Markey / Myrna Loy,1905-8-2,1895-12-11,False,False,"
(3 January 1946            - 
21 August 1950) (    divorced)          ",Female,Male
               John Daniel Hertz Jr.          / Myrna Loy,1905-8-2,-1,False,False,"
(6 June 1942            - 
21 August 1944) (    divorced)          ",Female,-1
 Arthur Hornblow Jr. / Myrna Loy,1905-8-2,1893-3-15,False,True,"
(27 June 1936            - 
1 June 1942) (    divorced)          ",Female,Male
 Dan Cadan / Lena Headey,1973-10-3,1975-1-2,True,False,"
(2018            - 
present) (    separated) (    1 child)          ",Female,Male
               Peter Paul Loughran          / Lena Headey,1973-10-3,-1,True,False,"
(19 May 2007            - 
26 December 2013) (    divorced) (    1 child)          ",Female,-1
 Dave Galafassi / Toni Collette,1972-11-1,-1,True,False,"
(11 January 2003            - 
present) (    2 children)          ",Female,Male
 Marc Schauer / Laura Linney,1964-2-5,-1,True,False,"
(2 May 2009            - 
present) (    1 child)          ",Female,-1
 David Adkins / Laura Linney,1964-2-5,-1,True,False,"
(2 September 1995            - 
2000) (    divorced)          ",Female,Male
 Rudolf Sieber / Marlene Dietrich,1901-12-27,1897-2-20,True,False,"
(17 May 1924            - 
24 June 1976) (    his death) (    1 child)          ",Female,Male
 Clark Gable / Carole Lombard,1908-10-6,1901-2-1,True,True,"
(29 March 1939            - 
16 January 1942) (    her death)          ",Female,Male
 William Powell / Carole Lombard,1908-10-6,1892-7-29,True,True,"
(26 June 1931            - 
16 August 1933) (    divorced)          ",Female,Male
 Frank Ross / Jean Arthur,1900-10-17,1904-8-12,True,True,"
(11 June 1932            - 
14 March 1949) (    divorced)          ",Female,Male
               Julian Aster Ancker          / Jean Arthur,1900-10-17,-1,True,False,"
(1928            - 
1928) (    annulled)          ",Female,-1
 Harold Rosson / Jean Harlow,1911-3-3,1895-4-6,False,True,"
(18 September 1933            - 
14 March 1936) (    divorced)          ",Female,Male
 Paul Bern / Jean Harlow,1911-3-3,1889-12-3,False,False,"
(2 July 1932            - 
5 September 1932) (    his death)          ",Female,Male
               Charles Fremont McGrew II          / Jean Harlow,1911-3-3,-1,False,False,"
(27 September 1927            - 
29 January 1931) (    divorced)          ",Female,-1
 William Marshall / Ginger Rogers,1911-7-16,1917-10-12,True,False,"
(16 March 1961            - 
1969) (    divorced)          ",Female,Male
 Jacques Bergerac / Ginger Rogers,1911-7-16,1927-5-26,True,True,"
(7 February 1953            - 
7 July 1957) (    divorced)          ",Female,Male
 Jack Briggs / Ginger Rogers,1911-7-16,1920-8-1,True,False,"
(16 January 1943            - 
7 September 1949) (    divorced)          ",Female,Male
 Lew Ayres / Ginger Rogers,1911-7-16,1908-12-28,True,True,"
(14 November 1934            - 
20 March 1941) (    divorced)          ",Female,Male
 Jack Pepper / Ginger Rogers,1911-7-16,1902-6-14,True,False,"
(29 March 1929            - 
11 July 1931) (    divorced)          ",Female,Male
 Charles 'Buddy' Rogers / Mary Pickford,1892-4-8,1904-8-13,True,False,"
(26 June 1937            - 
29 May 1979) (    her death) (    2 children)          ",Female,Male
 Douglas Fairbanks / Mary Pickford,1892-4-8,1883-5-23,True,False,"
(28 March 1920            - 
10 January 1936) (    divorced)          ",Female,Male
 Owen Moore / Mary Pickford,1892-4-8,1884-12-12,True,False,"
(7 January 1911            - 
2 March 1920) (    divorced)          ",Female,Male
 Guido Deiro / Mae West,1892-8-17,1886-9-1,False,False,"
(1914            - 
9 November 1920) (    divorced)          ",Female,Male
               Frank Wallace          / Mae West,1892-8-17,-1,False,False,"
(11 April 1911            - 
23 July 1942) (    divorced)          ",Female,-1
 Julian Ozanne / Gillian Anderson,1968-8-9,1965-0-0,True,False,"
(29 December 2004            - 
24 July 2007) (    divorced)          ",Female,-1
 Clyde Klotz / Gillian Anderson,1968-8-9,1961-6-8,True,False,"
(1 January 1994            - 
1 February 1997) (    divorced) (    1 child)          ",Female,-1
 Dennis Quaid / Meg Ryan,1961-11-19,1954-4-9,True,True,"
(14 February 1991            - 
16 July 2001) (    divorced) (    1 child)          ",Female,Male
 Suzanne Newlander Arkin / Alan Arkin,1934-3-26,-1,True,False,"
(1999            - 
present)          ",Male,Female
 Barbara Dana / Alan Arkin,1934-3-26,1940-12-28,True,False,"
(16 June 1964            - 
2 November 1999) (    divorced) (    1 child)          ",Male,Female
               Jeremy Yaffe          / Alan Arkin,1934-3-26,-1,True,False,"
(14 December 1955            - 
1961) (    divorced) (    2 children)          ",Male,-1
 Season Hubley / Kurt Russell,1951-3-17,1951-3-14,True,False,"
(17 March 1979            - 
16 May 1983) (    divorced) (    1 child)          ",Male,Female
 Livia Giuggioli / Colin Firth,1960-9-10,1969-9-4,True,False,"
(21 June 1997            - 
present) (    separated) (    2 children)          ",Male,Female
 Nicoletta Braschi / Roberto Benigni,1952-10-27,1960-4-19,True,False,"
(26 December 1991            - 
present)          ",Male,Female
 Sinéad Cusack / Jeremy Irons,1948-9-19,1948-2-18,True,False,"
(28 March 1978            - 
present) (    2 children)          ",Male,Female
 Julie Hallam / Jeremy Irons,1948-9-19,-1,True,False,"
(1969            - 
1969) (    annulled)          ",Male,Female
               Kate Hannan          / F. Murray Abraham,1939-10-24,-1,True,False,"
(7 April 1962            - 
present) (    2 children)          ",Male,-1
               Svetlana Erokhin          / Richard Dreyfuss,1947-10-29,-1,True,False,"
(16 March 2006            - 
present)          ",Male,-1
               Janelle Lacey          / Richard Dreyfuss,1947-10-29,-1,True,False,"
(30 May 1999            - 
2005) (    divorced)          ",Male,-1
 Jeramie Rain / Richard Dreyfuss,1947-10-29,1948-8-23,True,False,"
(20 March 1983            - 
14 September 1992) (    divorced) (    3 children)          ",Male,Female
 Eletha Finch / Peter Finch,1916-9-28,-1,True,False,"
(9 November 1973            - 
14 January 1977) (    his death) (    1 child)          ",Male,Female
 Yolande Turner / Peter Finch,1916-9-28,1935-12-12,True,False,"
(4 July 1959            - 
11 November 1965) (    divorced) (    2 children)          ",Male,Female
 Tamara Tchinarova Finch / Peter Finch,1916-9-28,1919-7-18,True,False,"
(21 April 1943            - 
17 June 1959) (    divorced) (    1 child)          ",Male,Female
               Jean Wilson Myers (remarried)          / Art Carney,1918-11-4,-1,True,False,"
(10 March 1979            - 
9 November 2003) (    his death)          ",Male,-1
 Barbara Carney / Art Carney,1918-11-4,-1,True,False,"
(22 December 1966            - 
1977) (    divorced)          ",Male,Female
               Jean Wilson Myers          / Art Carney,1918-11-4,-1,True,False,"
(15 August 1940            - 
1966) (    divorced) (    3 children)          ",Male,-1
 Dina Merrill / Cliff Robertson,1923-9-9,1923-12-29,True,False,"
(22 December 1966            - 
1989) (    divorced) (    1 child)          ",Male,Female
 Cynthia Stone / Cliff Robertson,1923-9-9,1926-2-26,True,False,"
(28 June 1957            - 
28 June 1960) (    divorced) (    1 child)          ",Male,Female
 Pamela Marvin / Lee Marvin,1924-2-19,1930-2-22,True,False,"
(18 October 1970            - 
29 August 1987) (    his death)          ",Male,Female
               Elizabeth (Betty) Ebeling          / Lee Marvin,1924-2-19,-1,True,False,"
(February 1951            - 
5 January 1967) (    divorced) (    4 children)          ",Male,-1
               Mercia Tinker          / Rex Harrison,1908-3-5,-1,True,False,"
(17 December 1978            - 
2 June 1990) (    his death)          ",Male,-1
 Elizabeth Rees / Rex Harrison,1908-3-5,1936-5-1,True,False,"
(26 August 1971            - 
16 December 1975) (    divorced)          ",Male,Female
 Rachel Roberts / Rex Harrison,1908-3-5,1927-9-20,True,True,"
(21 March 1962            - 
19 February 1971) (    divorced)          ",Male,Female
 Kay Kendall / Rex Harrison,1908-3-5,1926-5-21,True,True,"
(22 June 1957            - 
6 September 1959) (    her death)          ",Male,Female
 Lilli Palmer / Rex Harrison,1908-3-5,1914-5-24,True,True,"
(25 January 1943            - 
6 February 1957) (    divorced) (    1 child)          ",Male,Female
               Noel Marjorie Collette Thomas          / Rex Harrison,1908-3-5,-1,True,False,"
(1933            - 
1942) (    divorced) (    1 child)          ",Male,-1
               Kathy Benvin          / Anthony Quinn,1915-4-21,-1,True,False,"
(7 December 1997            - 
3 June 2001) (    his death) (    2 children)          ",Male,-1
 Jolanda Addolori / Anthony Quinn,1915-4-21,2016-1-28,True,False,"
(2 January 1966            - 
19 August 1997) (    divorced) (    3 children)          ",Male,Female
 Katherine DeMille / Anthony Quinn,1915-4-21,1911-6-29,True,False,"
(3 October 1937            - 
21 January 1965) (    divorced) (    5 children)          ",Male,Female
 Iva Mihanovic / Maximilian Schell,1930-12-8,1978-4-19,True,False,"
(20 August 2013            - 
1 February 2014) (    his death)          ",Male,Female
 Natalya Andreychenko / Maximilian Schell,1930-12-8,1956-5-3,True,False,"
(1985            - 
2005) (    divorced) (    1 child)          ",Male,Female
 Charlotte Riley / Tom Hardy,1977-9-15,1981-12-29,True,False,"
(4 July 2014            - 
present) (    2 children)          ",Male,Female
               Sarah Ward          / Tom Hardy,1977-9-15,-1,True,False,"
(1999            - 
2004) (    divorced)          ",Male,-1
 Hjördis Genberg / David Niven,1910-3-1,1919-11-10,True,False,"
(14 January 1948            - 
29 July 1983) (    his death) (    2 children)          ",Male,Female
 Primula Rollo / David Niven,1910-3-1,1918-2-18,True,False,"
(16 September 1940            - 
21 May 1946) (    her death) (    2 children)          ",Male,Female
               Heidi Henderson          / William Hurt,1950-3-20,-1,True,False,"
(5 March 1989            - 
1 August 1993) (    divorced) (    2 children)          ",Male,-1
 Mary Beth Hurt / William Hurt,1950-3-20,1946-9-26,True,False,"
(2 December 1971            - 
9 December 1982) (    divorced)          ",Male,Female
 Kathy Lee / Yul Brynner,1920-7-11,-1,True,False,"
(4 April 1983            - 
10 October 1985) (    his death)          ",Male,Female
               Jacqueline Thion de La Chaume          / Yul Brynner,1920-7-11,-1,True,False,"
(23 September 1971            - 
1983) (    divorced) (    2 children)          ",Male,-1
 Doris Kleiner / Yul Brynner,1920-7-11,-1,True,False,"
(31 March 1960            - 
1967) (    divorced) (    1 child)          ",Male,Female
 Virginia Gilmore / Yul Brynner,1920-7-11,1919-7-26,True,False,"
(6 September 1944            - 
26 March 1960) (    divorced) (    1 child)          ",Male,Female
 Tova Borgnine / Ernest Borgnine,1917-1-24,1941-11-17,True,False,"
(24 February 1973            - 
8 July 2012) (    his death)          ",Male,Female
               Donna Granucci          / Ernest Borgnine,1917-1-24,-1,True,False,"
(30 June 1965            - 
1 January 1972) (    divorced) (    2 children)          ",Male,-1
 Ethel Merman / Ernest Borgnine,1917-1-24,1908-1-16,True,True,"
(27 June 1964            - 
18 November 1964) (    divorced)          ",Male,Female
 Katy Jurado / Ernest Borgnine,1917-1-24,1924-1-16,True,True,"
(31 December 1959            - 
3 June 1963) (    divorced)          ",Male,Female
               Rhoda Kemins          / Ernest Borgnine,1917-1-24,-1,True,False,"
(2 September 1949            - 
29 August 1958) (    divorced) (    1 child)          ",Male,-1
 Sophie Hunter / Benedict Cumberbatch,1976-7-19,1978-3-16,True,False,"
(14 February 2015            - 
present) (    2 children)          ",Male,Female
 Joan Benedict Steiger / Rod Steiger,1925-4-14,1927-7-21,True,False,"
(10 October 2000            - 
9 July 2002) (    his death)          ",Male,Female
               Paula Lee Ellis          / Rod Steiger,1925-4-14,-1,True,False,"
(3 February 1986            - 
1997) (    divorced) (    1 child)          ",Male,-1
               Sharon Frances Donatt          / Rod Steiger,1925-4-14,-1,True,False,"
(21 April 1973            - 
22 January 1980) (    divorced)          ",Male,-1
 Claire Bloom / Rod Steiger,1925-4-14,1931-2-15,True,False,"
(19 September 1959            - 
10 June 1969) (    divorced) (    1 child)          ",Male,Female
 Sally Gracie / Rod Steiger,1925-4-14,1920-12-31,True,False,"
(26 October 1952            - 
26 January 1959) (    divorced)          ",Male,Female
 Jack Waters / Emily Watson,1967-1-14,-1,True,False,"
(1995            - 
present) (    2 children)          ",Female,Male
 James Righton / Keira Knightley,1985-3-26,1983-8-25,True,False,"
(4 May 2013            - 
present) (    2 children)          ",Female,Male
 Corey Pearson / Alexis Thorpe,1980-4-19,1974-8-30,False,False,"
(November 2009            - 
2014) (    divorced) (    2 children)          ",Female,Male
 Horace G. Brown / Marion Davies,1897-1-3,1904-11-25,False,False,"
(31 October 1951            - 
22 September 1961) (    her death)          ",Female,Male
               Romain Dauriac          / Scarlett Johansson,1984-11-22,-1,True,False,"
(1 October 2014            - 
12 September 2017) (    divorced) (    1 child)          ",Female,-1
 Ryan Reynolds / Scarlett Johansson,1984-11-22,1976-10-23,True,True,"
(27 September 2008            - 
1 July 2011) (    divorced)          ",Female,Male
 Justin Theroux / Jennifer Aniston,1969-2-11,1971-8-10,True,False,"
(5 August 2015            - 
present) (    separated)          ",Female,Male
 Brad Pitt / Jennifer Aniston,1969-2-11,1963-12-18,True,True,"
(29 July 2000            - 
2 October 2005) (    divorced)          ",Female,Male
 Paul Bettany / Jennifer Connelly,1970-12-12,1971-5-27,True,False,"
(1 January 2003            - 
present) (    2 children)          ",Female,Male
 Marcus Mumford / Carey Mulligan,1985-5-28,1987-1-31,True,False,"
(21 April 2012            - 
present) (    2 children)          ",Female,Male
 Ashton Kutcher / Mila Kunis,1983-8-14,1978-2-7,True,False,"
(4 July 2015            - 
present) (    2 children)          ",Female,Male
 Thomas Sadoski / Amanda Seyfried,1985-12-3,1976-7-1,False,False,"
(12 March 2017            - 
present) (    1 child)          ",Female,Male
 Marc Anthony / Jennifer Lopez,1969-7-24,1968-9-16,True,False,"
(5 June 2004            - 
16 June 2014) (    divorced) (    2 children)          ",Female,Male
 Cris Judd / Jennifer Lopez,1969-7-24,1969-8-15,True,False,"
(29 September 2001            - 
26 January 2003) (    divorced)          ",Female,Male
 Ojani Noa / Jennifer Lopez,1969-7-24,1974-6-11,True,False,"
(22 February 1997            - 
1 June 1998) (    divorced)          ",Female,Male
 John Light / Neve Campbell,1973-10-3,1973-9-30,False,False,"
(5 May 2007            - 
6 May 2011) (    divorced)          ",Female,Male
 Jeff Colt / Neve Campbell,1973-10-3,-1,False,False,"
(3 April 1995            - 
8 May 1998) (    divorced)          ",Female,Male
 Cash Warren / Jessica Alba,1981-4-28,1979-1-10,True,False,"
(19 May 2008            - 
present) (    3 children)          ",Female,Male
 Grant Roffey / Julie Walters,1950-2-22,1957-0-0,True,False,"
(2 July 1997            - 
present) (    1 child)          ",Female,Male
 Christopher Guest / Jamie Lee Curtis,1958-11-22,1948-2-5,True,False,"
(18 December 1984            - 
present) (    2 children)          ",Female,Male
               Stella Daphne Magee          / José Ferrer,1912-1-8,-1,True,False,"
(1977            - 
26 January 1992) (    his death)          ",Male,-1
 Rosemary Clooney / José Ferrer,1912-1-8,1928-5-23,True,False,"
(13 July 1953            - 
12 September 1967) (    divorced) (    5 children)          ",Male,Female
 Phyllis Hill / José Ferrer,1912-1-8,1920-10-27,True,False,"
(19 June 1948            - 
7 July 1953) (    divorced)          ",Male,Female
